smiles,sa_score,sim_source,sim_target,comp_score,path_id
C=C(O)C1=C(O)C(C)=C(OC)C=C1,3.6561,11.54,9.62,15.02,2045
CC=CC1=C(O)C(C)=C(OC)C=C1,3.6209,11.39,10.58,15.91,2046
COC1=C(C)C(O)=C(C=CN)C=C1,3.8846,9.88,10.48,15.03,2047
CC1=C2OCCC2=C(CO)C=C1O,3.8032,11.11,8.33,13.51,272
C=C(O)C1=CC(OC)=C(C)C(O)=C1,3.7898,14.47,8.57,15.43,2081
CC=CC1=C(C=O)C=C(C)C(O)=C1,3.9755,12.99,9.62,15.71,37
C=CC1=CC(O)=C(C)C(O)=C1CO,3.8833,11.39,8.49,13.80,2167
CC1=CC(C)=C(C=CCN)C=C1O,3.9153,12.82,8.49,14.51,420
CNCC=CC1=CC=C(C)C(O)=C1,3.8355,13.92,9.35,15.92,2226
CC1=C(O)C=C(C=CCN)C=C1O,3.8788,10.00,7.48,12.09,2227
CC1=C(O)C=C(CO)C(CO)=C1O,3.6765,12.00,7.77,13.40,44
CC=CC1=C(CC)C=C(C)C(O)=C1,3.8470,14.29,7.48,14.23,2322
CC=CC1=C(C)C(O)=C(C)C(O)=C1,3.6930,12.00,8.82,14.45,2323
CC1=CC(C)=C(C=CC=N)C=C1O,4.1945,11.54,8.57,13.92,2327
C=CC1=C2CCOC2=C(C)C(O)=C1,3.9865,10.98,9.26,14.35,2368
C=C(O)C1=C(CC)C=C(C)C(O)=C1,3.8960,16.00,6.54,14.15,2450
C=C(O)C1=C(C)C(O)=C(C)C(O)=C1,3.7388,13.70,7.84,14.32,2451
CC=CC1=CC(OC)=C(C)C(O)=C1,3.7000,11.39,9.52,14.85,2488
CC1=CC=C(C=CC=NN)C=C1O,4.2575,11.11,10.38,15.51,2591
CC1=C(O)C=C(C=CC=N)C=C1O,4.2735,8.75,7.55,11.49,2592
C=CC1=C(CCC)C=C(C)C(O)=C1,3.8178,14.10,7.41,14.08,2595
CCCC1=C(CO)C=C(O)C(C)=C1,3.6292,13.16,6.60,12.82,2598
C=CC1=C(CCO)C=C(C)C(O)=C1,3.9858,12.66,7.41,13.34,2677
CC1=CC(CCO)=C(CO)C=C1O,3.7972,11.84,6.67,12.21,2721
CCC(=O)C1=CC(CO)=C(O)C(C)=C1,3.5378,20.27,9.43,19.22,549
C=CC1=C(O)C(C)=CC(C(=O)CC)=C1,3.7162,21.33,10.28,20.58,3119
CC1=CC(C(=O)C(C)O)=CC(C)=C1O,3.9700,21.13,10.78,20.95,3120
CC1=C(O)C(C)=C2OC(C)C(=O)C2=C1,4.1210,15.79,13.86,21.34,3121
CCC(=O)C1=C(C)C(C)=C(O)C(C)=C1,3.3517,17.81,10.78,19.35,3122
CC1=CC(C(=O)CO)=CC(CO)=C1O,3.6929,18.92,9.52,18.61,548
C=CC1=C(O)C(C)=CC(C(=O)CO)=C1,3.8713,19.74,10.28,19.76,3179
COCC(=O)C1=CC(C)=C(O)C(C)=C1,3.4353,23.61,12.62,24.08,3180
CC1=C(O)C(C)=C2OC(O)C(=O)C2=C1,4.3068,15.79,13.86,21.33,3182
CC1=CC(C(=O)CO)=C(C)C(C)=C1O,3.4659,16.22,10.78,18.55,3183
C=COCC(=O)C1=CC=C(O)C(C)=C1,3.9084,20.78,11.11,21.11,38
COC(C)C(=O)C1=CC=C(O)C(C)=C1,4.0097,18.67,11.54,20.47,3254
COC1OC2=C(C)C(O)=CC=C2C1=O,4.3219,16.67,14.56,22.46,3255
COCC(=O)C1=C(C)C=C(O)C(C)=C1,3.5134,17.11,11.54,19.74,3256
CC1=C2OCC(=O)C2=CC(CO)=C1O,3.8410,17.95,12.26,20.85,550
C=CC1=C(O)C(C)=C2OCC(=O)C2=C1,4.0148,17.72,13.21,21.67,3270
CC1=C(O)C(C)=C2OCC(=O)C2=C1C,3.5144,13.33,13.13,19.45,3273
CC1=CC=CC(C(O)=CNC=O)=C1O,4.0519,16.46,13.33,21.16,912
CC1=CC(C=CNC=O)=C(O)C(C)=C1,3.9092,17.11,11.54,19.70,3450
CC(=CC1=C(O)C(C)=CC=C1)NC=O,3.9145,15.00,14.42,21.53,3451
CC(=O)NC=CC1=C(O)C(C)=CC=C1,3.6111,16.67,14.56,22.54,3452
CC1=C(O)C=CC(C=CNC=O)=C1O,4.1425,12.50,11.43,17.26,3453
CC1=CC=C(C)C(C=CNC=O)=C1O,4.0024,16.00,12.87,20.47,3454
C=C(O)C1=C(O)C(C)=CC(C(C)=O)=C1,3.7122,18.92,10.58,19.67,547
